path_id,od_id,arc_id,value
289,99,220,1.0
289,99,427,1.0
289,99,428,1.0
290,99,220,1.0
290,99,427,1.0
290,99,185,1.0
290,99,188,1.0
291,99,220,1.0
291,99,427,1.0
291,99,430,1.0
291,99,447,1.0
294,102,420,1.0
295,102,422,1.0
295,102,450,1.0
296,102,367,1.0
296,102,364,1.0
296,102,448,1.0
297,103,420,1.0
298,103,422,1.0
298,103,450,1.0
299,103,367,1.0
299,103,364,1.0
299,103,448,1.0
300,104,367,1.0
301,104,345,1.0
301,104,346,1.0
302,104,420,1.0
302,104,449,1.0
302,104,365,1.0
303,105,367,1.0
304,105,345,1.0
304,105,346,1.0
305,105,420,1.0
305,105,449,1.0
305,105,365,1.0
306,106,367,1.0
306,106,364,1.0
307,106,420,1.0
307,106,449,1.0
308,106,367,1.0
308,106,19,1.0
308,106,10,1.0
309,107,367,1.0
309,107,364,1.0
310,107,420,1.0
310,107,449,1.0
311,107,367,1.0
311,107,19,1.0
311,107,10,1.0
312,108,420,1.0
312,108,435,1.0
313,108,420,1.0
313,108,191,1.0
313,108,184,1.0
314,108,422,1.0
314,108,433,1.0
315,109,420,1.0
315,109,191,1.0
315,109,186,1.0
316,109,420,1.0
316,109,435,1.0
316,109,430,1.0
317,109,420,1.0
317,109,191,1.0
317,109,184,1.0
317,109,430,1.0
318,110,420,1.0
318,110,191,1.0
318,110,186,1.0
319,110,420,1.0
319,110,435,1.0
319,110,430,1.0
320,110,420,1.0
320,110,191,1.0
320,110,184,1.0
320,110,430,1.0
321,111,367,1.0
321,111,117,1.0
321,111,114,1.0
322,111,367,1.0
322,111,19,1.0
322,111,16,1.0
322,111,114,1.0
323,111,367,1.0
323,111,269,1.0
323,111,264,1.0
324,112,420,1.0
324,112,435,1.0
324,112,426,1.0
325,112,420,1.0
325,112,191,1.0
325,112,184,1.0
325,112,426,1.0
326,112,422,1.0
326,112,433,1.0
326,112,426,1.0
327,113,420,1.0
327,113,435,1.0
